,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
328,Ujjain,IN,22.92,overcast clouds,23.1833,75.7667,SPOT ON 69320 Hotel New Neha Palace
329,Severodvinsk,RU,9.06,overcast clouds,64.5635,39.8302,Park Hotel
330,Tazovskiy,RU,0.46,overcast clouds,67.4667,78.7,TazHostel
331,Ahipara,NZ,11.61,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
332,Marsa Matruh,EG,22.06,clear sky,31.3525,27.2453,Beau Site
333,Havoysund,NO,7.13,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
335,Petropavlovsk-Kamchatskiy,RU,8.33,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
336,Muros,ES,18.94,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
337,San Isidro,PE,17.79,overcast clouds,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
339,Daru,PG,27.69,broken clouds,-9.0763,143.2092,Daru Lodge
340,Port-Gentil,GA,25.25,broken clouds,-0.7193,8.7815,Fengshui Residence
341,Atar,MR,33.73,scattered clouds,20.5169,-13.0499,Oumou Elghoura
342,Zvishavane,ZW,20.41,clear sky,-20.3267,30.0665,Hotel Boutique Runde
343,Homer,US,13.94,broken clouds,59.6425,-151.5483,Beluga Lake Lodge
344,Ardabil,IR,15.35,clear sky,38.2498,48.2933,Hotel ideal
345,Owando,CG,21.79,light rain,-0.4819,15.8999,Exaunel Hotel Owando
346,La Gomera,GT,28.84,broken clouds,14.0833,-91.05,Cede.E.T.V
347,Tarbes,FR,16.26,overcast clouds,43.25,0.1667,Quelle Vue (Gite Rural)
348,Creemore,CA,16.7,scattered clouds,44.327,-80.1075,Clearview Station Bed & Breakfast
349,Zarubino,RU,7.59,clear sky,42.63,131.0922,Okean
350,Katobu,ID,27.07,overcast clouds,-4.9408,122.5276,La Ode Husein
351,Ancud,CL,9.59,moderate rain,-41.8697,-73.8203,Hotel Arena Gruesa
352,Bereda,ES,15.79,overcast clouds,43.2686,-7.5406,Pazo de Verdes
353,Aklavik,CA,1.5,overcast clouds,68.2191,-135.0107,Aklavik Inn
354,Caldas Da Rainha,PT,17.04,clear sky,39.4033,-9.1384,SANA Silver Coast Hotel
355,Turka,UA,9.33,overcast clouds,49.1541,23.0297,Мотель
356,Nishihara,JP,27.6,scattered clouds,26.1842,127.7558,Minshuku Agaihama
357,Sao Sebastiao,BR,20.11,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
358,Sakakah,SA,26.14,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
359,Mehriz,IR,17.28,clear sky,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
360,Concepcion De Buenos Aires,MX,14.99,broken clouds,19.9667,-103.2667,HOTEL CONSTITUCIÓN
361,Serenje,ZM,18.29,few clouds,-13.2325,30.2352,The Kabaso's
362,Sola,VU,26.97,broken clouds,-13.8833,167.55,Leumerus Bungalows
363,Kotelnikovo,RU,10.83,few clouds,47.6317,43.1461,Seven Kings Kotelnikovo
365,Leesburg,US,17.67,overcast clouds,39.1157,-77.5636,"Homewood Suites by Hilton Leesburg, VA"
366,Hobyo,SO,24.91,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
367,Bonthe,SL,24.91,moderate rain,7.5264,-12.505,Bonthe Holiday Village
368,Ilorin,NG,22.96,moderate rain,8.5,4.55,SITY INN
370,Lypova Dolyna,UA,8.63,overcast clouds,50.5643,33.7979,Олівія
371,Praia,CV,26.94,few clouds,14.9215,-23.5087,LT Aparthotel
372,Bridlington,GB,10.16,scattered clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
373,Richards Bay,ZA,21.12,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
374,Warrington,GB,11.92,clear sky,53.3925,-2.5802,Villaggio Hotel
375,Calama,CL,13.27,clear sky,-22.4667,-68.9333,Park Hotel Calama
376,Shingu,JP,19.53,overcast clouds,33.7333,135.9833,Shingu UI Hotel
377,Meadow Lake,US,14.71,light rain,34.8014,-106.5436,TumbleWeed RV Park
378,Sur,OM,27.47,clear sky,22.5667,59.5289,Sur Plaza Hotel
379,Batticaloa,LK,25.7,overcast clouds,7.7102,81.6924,Grand Star Guest House
380,Ozerki,RU,6.01,overcast clouds,57.6167,39.8833,ibis Yaroslavl Center
381,Awjilah,LY,23.44,clear sky,29.1081,21.2869,المنزل
382,Ketchikan,US,14.26,light rain,55.3422,-131.6461,Snow's Cove Lodge
383,Eureka,US,18.44,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
384,Port Moresby,PG,29.27,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
385,Chumikan,RU,0.9,scattered clouds,54.7183,135.315,Fortuna
386,Pallasovka,RU,11.03,overcast clouds,50.05,46.8833,"Hotel ""Natalia"""
387,Tezu,IN,22.64,overcast clouds,27.9167,96.1667,Circuit House
388,Palapye,BW,21.34,clear sky,-22.546,27.1251,Belle vue Bed & Breakfast
389,Riyadh,SA,26.31,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
390,Usinsk,RU,5.33,overcast clouds,65.9939,57.5281,Dobro Pozhalovaty
391,Kanniyakumari,IN,25.45,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
392,Kralendijk,BQ,27.99,clear sky,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
393,Maningrida,AU,30.3,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
394,Cristalina,BR,19.14,broken clouds,-16.7686,-47.6136,HOTEL TOPAZIO
395,Malkangiri,IN,23.29,overcast clouds,18.35,81.9,MR-SAGAR_KUMAR_RTR™
396,Carutapera,BR,26.41,clear sky,-1.195,-46.02,Lidera
397,Russell,US,23.78,clear sky,32.3502,-85.1999,Macs
398,Lucapa,AO,19.57,overcast clouds,-8.4192,20.7447,Lírio Mendes
399,Jiuquan,CN,5.02,clear sky,39.7432,98.5174,Jiuquan Hotel
400,Sembe,CG,20.65,broken clouds,1.6481,14.5806,
401,Nsukka,NG,20.74,light rain,6.8561,7.3927,The AttaGate Hotels
402,Menongue,AO,18.58,broken clouds,-14.6585,17.691,Ritz Lauca
404,Makakilo City,US,29.2,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
405,Khalkhal,IR,12.51,clear sky,37.6189,48.5258,Khalkhal Tourist Hotel
406,Laguna,US,34.05,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
407,Santarem,BR,29.82,broken clouds,-2.4431,-54.7083,Hotel Imperador
408,Aleksin,RU,8.46,overcast clouds,54.51,37.08,Хостл
409,Pitimbu,BR,25.14,clear sky,-7.4706,-34.8086,Reserva do Abiaí
410,Grand-Santi,GF,27.53,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
411,Gladstone,AU,23.96,scattered clouds,-23.85,151.25,Highpoint International Hotel
412,Mount Prospect,US,21.62,clear sky,42.0664,-87.9373,Hampton Inn & Suites Chicago/Mt. Prospect
413,Rio Gallegos,AR,8.8,overcast clouds,-51.6226,-69.2181,Hotel Santa Cruz
414,Villers-Le-Bouillet,BE,13.8,few clouds,50.5771,5.2595,Atelier n°5
415,Abengourou,CI,21.27,overcast clouds,6.7297,-3.4964,Hotel des Princes
416,Beyneu,KZ,12.16,broken clouds,45.3167,55.2,NUR
417,Mahibadhoo,MV,27.15,overcast clouds,3.7833,72.9667,Omadhoo Inn
418,Kamenka,RU,8.11,overcast clouds,51.3223,42.7678,
419,Komsomolskiy,UZ,11.4,broken clouds,40.4272,71.7189,Ikathouse
420,Wanning,CN,26.99,scattered clouds,18.8003,110.3967,Paradise Hotel
421,Prescott,US,25.67,few clouds,34.54,-112.4685,Prescott Resort & Conference Center
422,Yulara,AU,24.97,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
423,Payakumbuh,ID,22.3,overcast clouds,-0.2202,100.6308,Dalimo Homestay
424,Guane,CU,24.78,scattered clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
425,Neyshabur,IR,14.52,clear sky,36.2133,58.7958,Amiran Hotel & Commercial Complex
426,Farah,AF,15.94,clear sky,32.5,62.5,
427,Lagoa,PT,20.6,light rain,39.05,-27.9833,Casa Das Faias
428,Puerto Quijarro,BO,28.98,scattered clouds,-17.7833,-57.7667,Hotel palance
429,Buzmeyin,TM,17.07,clear sky,38.0507,58.2056,
430,Sechura,PE,17.78,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
431,Sistranda,NO,10.98,light rain,63.7256,8.834,Hotell Frøya
432,Kampot,KH,26.03,overcast clouds,10.6167,104.1833,Two Moons Hotel
433,Nador,MA,21.14,clear sky,35.174,-2.9287,Hôtel La Giralda
434,Ossora,RU,5.47,clear sky,59.2353,163.0719,
435,Charters Towers,AU,26.42,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
436,Labytnangi,RU,2.83,light rain,66.6572,66.4183,Priuralye Hotel
437,Sharjah,AE,28.99,haze,25.3573,55.4033,Swiss Belhotel Sharjah
438,Trelew,AR,21.3,scattered clouds,-43.249,-65.3051,Hotel Touring Club
439,Kem,RU,7.14,broken clouds,64.9555,34.5793,Kuzova
440,Egvekinot,RU,1.78,snow,66.3167,-179.1667,
441,Atasu,KZ,6.76,few clouds,48.6814,71.6433,Diana
442,Lata,PT,14.4,scattered clouds,40.1629,-8.3327,Casa Maquia
444,Pontiac,US,19.95,broken clouds,42.6389,-83.2911,Embassy Suites by Hilton Auburn Hills
445,Maketu,NZ,15.01,scattered clouds,-37.7667,176.45,Maketu Beach Holiday Park
446,Tarauaca,BR,26.73,scattered clouds,-8.1614,-70.7656,Flat Temporada
447,Conceicao Da Barra,BR,23.79,broken clouds,-18.5933,-39.7322,Cricaré Praia Hotel
448,Emirdag,TR,10.24,broken clouds,39.0197,31.15,Emirdağ Öğretmenevi
449,Dongsheng,CN,5.08,broken clouds,39.8161,109.9776,Crowne Plaza Ordos
450,Adrar,MR,32.88,clear sky,20.5022,-10.0711,
451,Slupsk,PL,12.47,few clouds,54.4641,17.0287,Hotel Pod Kluką
452,Izazi,TZ,20.95,few clouds,-7.2,35.7333,
453,Coatzintla,MX,22.32,light intensity drizzle,20.4833,-97.45,Hotel Poza Rica Inn
454,Union,US,15.93,broken clouds,40.6334,-74.2663,Homewood Suites by Hilton Newark-Cranford
455,College,US,8.1,scattered clouds,64.8569,-147.8028,Pike's Waterfront Lodge
456,Serebryansk,KZ,2.83,scattered clouds,49.6925,83.2892,"Gostinitsa ""Vodoley"""
457,Ayan,RU,0.94,overcast clouds,56.45,138.1667,Gostinitsa
458,Gerede,TR,6.17,overcast clouds,40.8008,32.1969,Hotel Konuk
459,Touros,BR,25.19,clear sky,-5.1989,-35.4608,INN NEW HORIZON
460,Port Shepstone,ZA,20.07,broken clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
461,Nurota,UZ,8.8,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
462,Berlevag,NO,5.97,overcast clouds,70.8578,29.0864,Kvitbrakka
463,Coihaique,CL,3.61,moderate rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
464,Jacareacanga,BR,27.86,broken clouds,-6.2222,-57.7528,Casa do Ian😎
465,Tabou,CI,24.31,overcast clouds,4.423,-7.3528,hotêl doufoulougou
466,Garden City,US,20.53,broken clouds,42.3256,-83.331,Big Trees Mobile Home Community
467,Slave Lake,CA,10.3,overcast clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
468,Rio Tercero,AR,12.11,light rain,-32.173,-64.1141,Hospedaje Las Violetas
469,Beppu,JP,20.27,heavy intensity rain,33.2736,131.4919,Seikaiso
470,Asfi,MA,20.1,broken clouds,32.2994,-9.2372,Hôtel Abda
471,Santa Maria,BR,16.95,heavy intensity rain,-29.6842,-53.8069,Hotel Morotin
472,Dingle,PH,27.74,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
473,Ostersund,SE,8.25,light rain,63.1792,14.6357,Best Western Hotel Gamla Teatern
474,Broken Hill,AU,23.96,clear sky,-31.95,141.4333,Royal Exchange Hotel
475,Betafo,MG,13.22,clear sky,-19.8333,46.85,CHEZ MALALA
476,Narrabri,AU,15.85,overcast clouds,-30.3167,149.7833,Crossroads Hotel
477,Pecsvarad,HU,11.88,overcast clouds,46.1603,18.4232,Zengőszív Jurtafalu
478,Male,MV,27.34,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
479,Locri,IT,17.03,clear sky,38.2414,16.2623,Grand Hotel President
480,Guerrero Negro,MX,22.98,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
481,Sozimskiy,RU,5.56,overcast clouds,59.7418,52.2482,
482,Tautira,PF,24.79,scattered clouds,-17.7333,-149.15,Pension Oaoa
483,Emet,TR,6.82,clear sky,39.343,29.2585,Emet Thermal Resort Spa
484,Aden,YE,30.03,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
485,Mecca,SA,28.68,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
486,Anekal,IN,20.73,overcast clouds,12.7,77.7,Hotel Mayura Nisarga Pearl Valley
487,Uddevalla,SE,13.2,light rain,58.3478,11.9424,Best Western Hotel Carlia
488,Bainbridge,US,20.44,scattered clouds,47.6262,-122.5212,Bainbridge Island Country Inn
489,Pierre,US,22.51,clear sky,44.3683,-100.351,Ramkota Hotel
490,Qaqortoq,GL,2.57,overcast clouds,60.7167,-46.0333,Siniffik Inn
491,Abonnema,NG,23.99,moderate rain,4.7084,6.7931,Corper's Lodge Obonoma
492,La Ronge,CA,4.14,clear sky,55.1001,-105.2842,Northland Motor Hotel
493,Brewster,US,15.79,overcast clouds,41.3973,-73.6171,Heidi's Inn
495,Rincon,US,19.92,few clouds,32.296,-81.2354,Days Inn Rincon
496,Kanye,BW,20.82,clear sky,-24.9667,25.3327,The Savanna Lodge
497,Port Augusta,AU,23.55,clear sky,-32.5,137.7667,Majestic Oasis Apartments
498,Monrovia,LR,23.87,light rain,6.3005,-10.7969,Sunset Inn
499,Lianzhou,CN,19.52,scattered clouds,24.7811,112.3825,Qingcheng Tourism Industry
500,Rantepao,ID,22.05,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
501,Nemuro,JP,11.06,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
502,Wonosari,ID,24.11,overcast clouds,-7.9656,110.6036,OYO 2634 Griya Birowo Syariah
503,Deloraine,AU,12.86,light rain,-41.5333,146.6667,Mountain View Country Inn
504,Pontes E Lacerda,BR,27.55,scattered clouds,-15.2261,-59.3353,Hotel Bressan
506,Bondoukou,CI,21.5,light rain,8.0333,-2.8,Prestige Hotel
507,Santa Cruz,BO,27.7,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
508,Chilca,PE,15.42,broken clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
509,Praya,CV,26.94,few clouds,14.9215,-23.5087,LT Aparthotel
510,Bani Walid,LY,19.84,clear sky,31.7566,13.9942,نيك بلاش
511,Kirovsk,UA,7.12,scattered clouds,48.6375,38.6428,
512,Karratha,AU,25.65,clear sky,-20.7377,116.8463,ibis Styles Karratha
514,Cochabamba,BO,19.86,scattered clouds,-17.3895,-66.1568,Hotel Aranjuez Cochabamba
515,Hambantota,LK,25.64,overcast clouds,6.1241,81.1185,Bungalow 63
516,Mafinga,TZ,20.26,few clouds,-7.25,35.0667,
517,Luganville,VU,26.94,broken clouds,-15.5333,167.1667,The Espiritu Hotel
518,Te Anau,NZ,4.72,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
519,Halifax,CA,15.25,overcast clouds,44.6453,-63.5724,Hotel Halifax
520,Maceio,BR,25.14,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
521,Cap Malheureux,MU,19.7,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
522,Aksarka,RU,2.78,overcast clouds,66.5606,67.7975,
523,Sarakhs,IR,11.35,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
524,Arawa,PG,28.72,light rain,-6.2132,155.5367,Coastline Guest House
525,Manokwari,ID,28.34,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
526,Codrington,AU,15.63,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
527,Denpasar,ID,25.4,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
528,Buraydah,SA,25.27,clear sky,26.326,43.975,Mövenpick Qassim
529,Taft,IR,16.97,clear sky,31.7471,54.2088,عمارت ساعتی تفت
530,Seara,PT,18.31,broken clouds,41.1818,-7.8003,Six Senses Douro Valley
532,Oron,NG,23.45,moderate rain,4.8256,8.2343,Aqua Belloni Lodge
533,Akyab,MM,25.63,scattered clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
534,Arlit,NE,32.17,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
535,Lobva,RU,5.97,overcast clouds,59.1854,60.5185,
536,Say,NE,29.32,scattered clouds,13.1007,2.3689,
537,Panama City,PA,27.32,overcast clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
538,Dalvik,IS,6.96,overcast clouds,65.9702,-18.5286,Dalvík Hostel
539,Nassau,US,15.96,overcast clouds,40.7507,-73.5829,Hilton Garden Inn Westbury
540,Mizdah,LY,16.56,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
541,Gizo,SB,29.04,broken clouds,-8.103,156.8419,Imagination Island
542,Sijunjung,ID,23.25,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
543,Zhangye,CN,6.92,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
544,Takayama,JP,11.75,overcast clouds,36.1333,137.25,Country Hotel Takayama
545,Guna,IN,22.39,light rain,24.65,77.3167,Hotel G K Jain
546,Hatillo,PR,26.17,overcast clouds,18.4863,-66.8254,El Buen Hotel
547,Durazno,UY,15.38,broken clouds,-33.4131,-56.5006,Hotel Santa Cristina
548,Sabalgarh,IN,23.6,broken clouds,26.25,77.4,Kailadevi studio
549,Mambajao,PH,28.02,overcast clouds,9.2504,124.7156,SomeWhere Else boutique resort
550,Yatou,CN,13.48,scattered clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
551,Puerto Colombia,CO,25.05,broken clouds,10.9878,-74.9547,Hotel El Emigrante
552,Golden,US,18.93,few clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
553,Valparaiso,CL,14.15,scattered clouds,-33.0393,-71.6273,Hotel Ultramar
554,Muisne,EC,23.91,broken clouds,0.6,-80.0333,Quinta Samay
557,Raymondville,US,29.06,scattered clouds,26.4815,-97.7831,La Quinta Inn & Suites by Wyndham Raymondville
558,Kanker,IN,21.75,overcast clouds,20.2719,81.4931,STARiHOTEL Kanker
559,Kavaratti,IN,27.02,broken clouds,10.5669,72.642,Green leaf
560,Tolaga Bay,NZ,8.93,broken clouds,-38.3667,178.3,Tolaga Bay Motel
561,Pafos,CY,19.88,few clouds,34.7667,32.4167,Elysium Hotel
562,Masuguru,TZ,21.13,clear sky,-11.3667,38.4167,
563,Johnson City,US,14.65,clear sky,36.3134,-82.3535,Hampton Inn Johnson City
564,Witbank,ZA,18.51,clear sky,-25.8713,29.2332,ANEW Hotel Witbank eMalahleni
565,Duku,NG,23.26,light rain,11.2361,4.9073,
566,Wanaka,NZ,6.17,broken clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
567,Faya,SA,20.29,scattered clouds,18.3851,42.4509,شيلة نسايم
568,Itapetinga,BR,22.46,few clouds,-15.2489,-40.2478,Hotel Del Rey
570,Taoudenni,ML,34.81,clear sky,22.6783,-3.9836,
571,Sept-Iles,CA,9.47,overcast clouds,50.2001,-66.3821,Comfort Inn
572,Marzuq,YE,22.08,scattered clouds,14.4,46.4667,حيد القفلة
573,Hun,LY,21.16,clear sky,29.1268,15.9477,Alrwasi Hotel
574,Hammerfest,NO,6.25,scattered clouds,70.6634,23.6821,Skytterhuset
575,Margate,GB,11.84,clear sky,51.3813,1.3862,Premier Inn Margate hotel
576,Shimoda,JP,13.39,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
577,Vestmannaeyjar,IS,7.4,overcast clouds,63.4427,-20.2734,Glamping & Camping
578,Punjai Puliyampatti,IN,24.58,light rain,11.35,77.2,¥@$★ HOME
579,Turtas,RU,6.75,overcast clouds,58.9417,69.1325,Domashnyaya Gostinitsa
580,Ouadda,CF,19.45,light rain,8.0777,22.4007,
581,El Alto,PE,16.81,scattered clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
582,Tateyama,JP,15.05,mist,34.9833,139.8667,Tateyama Seaside Hotel
583,Binga,ZW,23.16,clear sky,-17.6203,27.3414,Lakeview Inn Binga
584,Nizwa,OM,25.39,scattered clouds,22.9333,57.5333,Orient Apartments
585,Waverly,US,17.84,clear sky,42.7392,-84.6208,"Crowne Plaza Lansing West, an IHG Hotel"
586,Guia De Isora,ES,22.4,overcast clouds,28.2115,-16.7795,La Vista Pension
587,Kesinga,IN,23.16,broken clouds,20.2,83.2333,Hotel Jayashree
588,Mersin,TR,22.1,clear sky,36.862,34.6509,Nostalgia Boutique Hotel
589,Bakchar,RU,3.27,overcast clouds,57.0186,82.0711,Gostinitsa Gostevoy Dom
590,Umm Lajj,SA,29.53,clear sky,25.0213,37.2685,Moon light Furnished Units
591,Muriwai Beach,NZ,12.46,overcast clouds,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
592,Wurzen,DE,16.46,broken clouds,51.3667,12.7333,Hotel Zur Post
593,Bemidji,US,19.05,overcast clouds,47.4736,-94.8803,Hampton Inn & Suites Bemidji
594,Benguela,AO,22.32,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
595,Mackenzie,CA,17.13,clear sky,55.2999,-123.1698,
596,Puerto Leguizamo,CO,26.89,overcast clouds,-0.1934,-74.7819,la casona de juancho
597,Teacapan,MX,27.75,overcast clouds,22.55,-105.75,Hotel los Mangos
598,Okha,RU,2.49,light rain,53.5739,142.9478,Sakhalin-Sfera
599,Tulum,MX,25.42,overcast clouds,20.2167,-87.4667,Kin Ha Tulum
600,Guatire,VE,26.5,light rain,10.4762,-66.5427,Parque Residencial Canaima I
601,Cajati,BR,17.9,overcast clouds,-24.7361,-48.1228,Lanchonete e Hotel Cortesia
603,Mount Isa,AU,26.87,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
604,Cilegon,ID,26.4,light rain,-6.0174,106.0538,Forbis Hotel
605,Avdiyivka,UA,8.21,broken clouds,48.1399,37.7426,Отель в Авдеевке
606,Acapulco,MX,28.9,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
607,Galdar,ES,22.42,overcast clouds,28.147,-15.6502,Hostel Guide
609,Fukuma,JP,20.72,moderate rain,33.7667,130.4667,Masago
610,Marsh Harbour,BS,26.57,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
611,Lorsch,DE,16.23,clear sky,49.6547,8.5686,Hotel-Restaurant Felix
612,Pamfila,GR,17.84,few clouds,39.1567,26.5217,GOLDEN SUN ROOMS
614,Kirksville,US,19.47,broken clouds,40.1948,-92.5833,Budget Host-Village Inn
615,Cranendonck,NL,14.69,scattered clouds,51.2775,5.5837,Villa Christina
616,Arroyohondo,CO,25.4,overcast clouds,10.2522,-75.0198,Luis coronado
617,Meulaboh,ID,23.56,light rain,4.1363,96.1285,Kost Pria
618,La Asuncion,VE,26.21,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
619,Shouguang,CN,11.39,scattered clouds,36.88,118.7375,Communications Hotel
620,Tiarei,PF,29.01,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
621,Troitskoye,RU,3.26,moderate rain,52.9821,84.6757,
622,Kimberley,ZA,17.83,overcast clouds,-28.7323,24.7623,Welgewandel Guesthouse
623,Tyrma,RU,0.99,few clouds,50.0833,132.1667,
624,Temiscaming,CA,16.73,broken clouds,46.7212,-79.0971,Auberge Canadienne
625,Hearst,CA,11.14,overcast clouds,49.6835,-83.6665,Companion
626,Alappuzha,IN,25.0,overcast clouds,9.49,76.3264,Panoramic Sea Resort
627,Saint-Pierre,RE,19.82,clear sky,-21.3393,55.4781,Alize Plage
628,Prince Rupert,CA,15.83,light rain,54.3161,-130.3201,Crest Hotel
629,Hede,CN,13.31,heavy intensity rain,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
631,Madingou,CG,24.06,light rain,-4.1536,13.55,HOTEL KIM ELISA
632,Pochutla,MX,28.23,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
633,Bahia Blanca,AR,14.03,overcast clouds,-38.7196,-62.2724,Hotel Argos
634,Nelson Bay,AU,18.03,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
635,Slobodskoy,RU,6.82,overcast clouds,58.7322,50.1772,Victoria Village
636,Inhambane,MZ,21.29,clear sky,-23.865,35.3833,Oceano
637,Nargana,PA,27.25,overcast clouds,9.4428,-78.5906,Dubbir
638,Paamiut,GL,2.9,broken clouds,61.994,-49.6678,Pistut
639,Orbetello,IT,18.9,broken clouds,42.4408,11.2196,Argentario Golf & Wellness Resort
640,Vanimo,PG,27.8,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
641,Ca Mau,VN,25.4,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
643,Odweyne,SO,24.35,overcast clouds,9.4092,45.064,Eng Hiirey House
644,Saint-Prosper,CA,11.5,clear sky,46.2117,-70.4811,Residence Beau Séiour
645,Santa Rosa,PH,30.05,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
646,Harper,LR,24.5,overcast clouds,4.375,-7.7169,Screensaver
647,Marovoay,MG,20.44,clear sky,-16.1,46.6333,Hôtel les Oliviers Marovoay
648,Luwuk,ID,28.37,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
649,Esso,RU,0.49,light snow,55.9333,158.7,Paramushir Tur
